082001000000000000,Алтайский край
082003000000000000,Краснодарский край
082004000000000000,Красноярский край
082005000000000000,Приморский край
082007000000000000,Ставропольский край
082008000000000000,Хабаровский край
082010000000000000,Амурская область
082011000000000000,Архангельская область
082014000000000000,Белгородская область
082018000000000000,Волгоградская область
082019000000000000,Вологодская область
082020000000000000,Воронежская область
082022000000000000,Нижегородская область
082025000000000000,Иркутская область
082026000000000000,Республика Ингушетия
082027000000000000,Калининградская область
082030000000000000,Камчатский край
082032000000000000,Кемеровская область - Кузбасс
082035000000000000,Республика Крым
082036000000000000,Самарская область
082038000000000000,Курская область
082040000000000000,Город Санкт-Петербург
082041000000000000,Ленинградская область
082045000000000000,Город Москва
082046000000000000,Московская область
082047000000000000,Мурманская область
082049000000000000,Новгородская область
082050000000000000,Новосибирская область
082052000000000000,Омская область
082053000000000000,Оренбургская область
082054000000000000,Орловская область
082056000000000000,Пензенская область
082060000000000000,Ростовская область
082064000000000000,Сахалинская область
082065000000000000,Свердловская область
082067000000000000,Город федерального значения Севастополь
082069000000000000,Томская область
082070000000000000,Тульская область
082071000000000000,Тюменская область
082073000000000000,Ульяновская область
082076000000000000,Забайкальский край
082078000000000000,Ярославская область
082080000000000000,Республика Башкортостан
082082000000000000,Республика Дагестан
082083000000000000,Кабардино-Балкарская Республика
082088000000000000,Республика Марий Эл
082089000000000000,Республика Мордовия
082090000000000000,Республика Северная Осетия-Алания
082091000000000000,Карачаево-Черкесская Республика
082092000000000000,Республика Татарстан (Татарстан)
082093000000000000,Республика Тыва
082096000000000000,Чеченская Республика
082097000000000000,Чувашская Республика-Чувашия
082098000000000000,Республика Саха (Якутия)
900001000000000000,Искусство. Культура. Развлечения
900002000000000000,Преступность. Законодательство. Суды.
900002001000000000,Преступления
900002002000000000,Судебная система
900002003000000000,Полиция
900002004000000000,Наказание
900002005000000000,Исправительные учреждения
900002006000000000,Законы
900002008000000000,Судебные процессы
900002012000000000,Корпоративные преступления
900003000000000000,Происшествия. Катастрофы.
900003002000000000,Землетрясения
900003004000000000,Пожары
900003009000000000,Загрязнение окружающей среды
900003013000000000,Несчастные случаи (в общем)
900003014000000000,Чрезвычайные происшествия
900003015000000000,Бедствия (в общем)
900004000000000000,Экономика. Бизнес. Финансы
900004001000000000,Сельское хозяйство
900004002000000000,Химическая промышленность
900004002006000000,Фармацевтика
900004003000000000,Инфокоммуникации
900004004000000000,Строительство. Недвижимость.
900004005000000000,ТЭК
900004005001000000,Альтернативные источники энергии
900004005002000000,Уголь
900004005003000000,Переработка и транспортировка нефти и газа
900004005004000000,Добыча и разведка нефти и газа
900004005005000000,Ядерная энергетика
900004005006000000,Производство и транспортировка электроэнергии
900004005008000000,Водоснабжение
900004006000000000,Финансы
900004006002000000,Банки
900004006006000000,Страхование
900004006009000000,Профучастники
900004007000000000,Потребительские товары. Торговля
900004008000000000,Макроэкономика
900004008003000000,Рынок корп. долг. обязательств
900004008004000000,Экономические показатели
900004008006000000,Валютный рынок
900004008008000000,Рынок гос. долга
900004008011000000,Внешняя торговля
900004008012000000,Денежно-кредитный рынок
900004009001000000,Рынок энергоносителей
900004009002000000,Рынок металлов
900004009003000000,Рынок акций
900004010000000000,Средства массовой информации
900004011000000000,Машиностроение
900004011001000000,Авиация и космонавтика
900004011002000000,Автомобильная промышленность
900004011003000000,Военная техника
900004011005000000,Тяжелое машиностроение
900004012000000000,Металлы
900004012002000000,Драгметаллы
900004012003000000,Черные металлы
900004012004000000,Цветные металлы
900004013000000000,Легкая и пищевая промышленность
900004013002000000,Продовольственные товары
900004013007000000,Текстиль. Одежда
900004014000000000,Туризм. Отдых
900004015000000000,Транспорт
900004016000000000,Новости компаний
900004016006000000,Комментарии аналитиков
900004016014000000,Военные заказы
900004016015000000,Дивиденды
900005000000000000,Образование
900006000000000000,Окружающая среда
900007000000000000,Здоровье
900007001000000000,Болезни
900007002000000000,Эпидемии
900007004000000000,Организации здравоохранения
900007007000000000,Лекарственные препараты
900007008001000000,Вакцины
900008000000000000,Интересы людей
900009000000000000,Труд
900009003000000000,Занятость
900010000000000000,Стиль жизни. Досуг
900011000000000000,Политика
900011001000000000,Оборона
900011002000000000,Международные отношения
900011003000000000,Выборы
900011004000000000,Шпионаж и разведка
900011005001000000,Санкции
900011006000000000,Власть. Госслужащие
900011007000000000,Права человека
900011009000000000,Парламент
900011010000000000,Партии. Движения
900011012000000000,Региональные власти
900011013000000000,Госбюджет и налоги
900011015000000000,Конституция
900011016000000000,Внутренняя политика
900011018000000000,Гражданские инициативы
900011019000000000,Референдумы
900011022000000000,Соблюдение правил
900012000000000000,Религия и вера
900013008000000000,Космические программы
900013009000000000,Наука (в общем)
900013010000000000,Технология (в общем)
900014000000000000,Социальные вопросы
900014003000000000,Демография
900014015000000000,Социальная помощь
900016000000000000,Беспорядки. Конфликты. Войны
900016001000000000,Террор
900016002000000000,Вооруженные конфликты
900016003000000000,Общественные протесты
900016007000000000,Беспорядки
900016009000000000,Войны
900017000000000000,Погода
901004000000000000,АФГАНИСТАН
901031000000000000,АЗЕРБАЙДЖАН
901032000000000000,АРГЕНТИНА
901036000000000000,АВСТРАЛИЯ
901040000000000000,АВСТРИЯ
901051000000000000,АРМЕНИЯ
901056000000000000,БЕЛЬГИЯ
901076000000000000,БРАЗИЛИЯ
901112000000000000,БЕЛАРУСЬ
901124000000000000,КАНАДА
901156000000000000,КИТАЙ
901203000000000000,ЧЕШСКАЯ РЕСПУБЛИКА
901233000000000000,ЭСТОНИЯ
901250000000000000,ФРАНЦИЯ
901268000000000000,ГРУЗИЯ
901276000000000000,ГЕРМАНИЯ
901348000000000000,ВЕНГРИЯ
901356000000000000,ИНДИЯ
901360000000000000,ИНДОНЕЗИЯ
901364000000000000,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА"
901372000000000000,ИРЛАНДИЯ
901376000000000000,ИЗРАИЛЬ
901380000000000000,ИТАЛИЯ
901392000000000000,ЯПОНИЯ
901398000000000000,КАЗАХСТАН
901410000000000000,"КОРЕЯ, РЕСПУБЛИКА"
901417000000000000,КИРГИЗИЯ
901428000000000000,ЛАТВИЯ
901440000000000000,ЛИТВА
901498000000000000,"МОЛДОВА, РЕСПУБЛИКА"
901528000000000000,НИДЕРЛАНДЫ
901616000000000000,ПОЛЬША
901643000000000000,РОССИЯ
901682000000000000,САУДОВСКАЯ АРАВИЯ
901724000000000000,ИСПАНИЯ
901756000000000000,ШВЕЙЦАРИЯ
901760000000000000,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
901762000000000000,ТАДЖИКИСТАН
901792000000000000,ТУРЦИЯ
901795000000000000,ТУРКМЕНИЯ
901804000000000000,УКРАИНА
901826000000000000,ВЕЛИКОБРИТАНИЯ
901840000000000000,СОЕДИНЕННЫЕ ШТАТЫ
901860000000000000,УЗБЕКИСТАН
901862000000000000,ВЕНЕСУЭЛА  БОЛИВАРИАНСКАЯ РЕСПУБЛИКА
902004001000000000,Экспресс
902004002000000000,Новости Интерфакса
902004004000000000,Выбоpы и референдумы
902004015000000000,Военные новости
902004016001001000,В коридорах власти
902004016001002000,Армия и внутренние войска
902004016001003000,Кавказ: хроника событий
902004016001004000,Спецслужбы и правоохранительные органы
902004016001006000,Военно-техническое сотрудничество
902004016001008000,ОДКБ и страны Содружества
902004016001011000,Зарубежные военные новости
902004016023003000,Космос и ракетостроение
902004016023009000,Зарубежные военные новости
902004016050000000,Бесплатные новости
902004075000000000,Религия
902004090001000000,Пул в РИА
902004090002000000,Пул в ТАСС
902009001005000000,Финансово-экономические новости. Полная версия
902009001015000000,Новости фондового рынка
902009001020000000,Финансово-экономические новости. Краткая версия
902009001025000000,Отраслевые новости
